project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,4-room,Chinese,"Blk 125A, Blk 126A",#05:1; #06:1; #08:1; #14:1,4,"$624,700 - $685,100"
Important notes,4-room,Indian/ Other Races,"Blk 125A, Blk 126A",#05:1; #06:1; #08:1; #14:1,4,"$624,700 - $685,100"
Important notes,4-room,Malay,"Blk 125A, Blk 126A",#05:1; #06:1; #08:1; #14:1,4,"$624,700 - $685,100"
