project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Indian/ Other Races,Blk 29,#07:1; #29:1,2,"$102,100 - $204,700"
Important notes,2-room Flexi,Malay,Blk 29,#07:1; #29:1,2,"$102,100 - $204,700"
