flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 29,Indian/ Other Races,#07:1; #29:1,"$102,100 - $204,700",Important notes
2-room Flexi,Blk 29,Malay,#07:1; #29:1,"$102,100 - $204,700",Important notes
