project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,"Blk 152B, Blk 154A",#07:1; #14:1,2,"$95,000 - $290,000"
Important notes,2-room Flexi,Indian/ Other Races,"Blk 152B, Blk 154A",#07:1; #14:1,2,"$95,000 - $290,000"
Important notes,2-room Flexi,Malay,"Blk 152B, Blk 154A",#07:1; #14:1,2,"$95,000 - $290,000"
