flat_type,block,ethnicity,floor_data,price_range,project
3-room,Blk 195,Chinese,#07:1,"$173,000 - $638,600",Important notes
3-room,Blk 195,Indian/ Other Races,#07:1,"$173,000 - $638,600",Important notes
3-room,Blk 195,Malay,#07:1,"$173,000 - $638,600",Important notes
