project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,4-room,Chinese,"Blk 993A, Blk 994A",#06:2; #08:1,3,"$431,100 - $439,400"
Important notes,4-room,Indian/ Other Races,"Blk 993A, Blk 994A",#06:2; #08:1,3,"$431,100 - $439,400"
Important notes,4-room,Malay,"Blk 993A, Blk 994A",#06:2; #08:1,3,"$431,100 - $439,400"
