flat_type,block,ethnicity,floor_data,price_range,project
4-room,Blk 431B,Chinese,#09:1,"$254,000 - $501,200",Important notes
4-room,Blk 431B,Indian/ Other Races,#09:1,"$254,000 - $501,200",Important notes
