project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 473A,#07:1; #20:1,2,"$54,200 - $104,300"
Important notes,2-room Flexi,Indian/ Other Races,Blk 473A,#07:1; #20:1,2,"$54,200 - $104,300"
Important notes,2-room Flexi,Malay,Blk 473A,#07:1; #20:1,2,"$54,200 - $104,300"
Important notes,5-room,Chinese,Blk 472A,#14:1,1,"$411,000 - $636,700"
Important notes,5-room,Indian/ Other Races,Blk 472A,#14:1,1,"$411,000 - $636,700"
Important notes,5-room,Malay,Blk 472A,#14:1,1,"$411,000 - $636,700"
