project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 527D,#04:1,1,"$84,300 - $246,000"
Important notes,2-room Flexi,Indian/ Other Races,Blk 527D,#04:1,1,"$84,300 - $246,000"
Important notes,2-room Flexi,Malay,Blk 527D,#04:1,1,"$84,300 - $246,000"
