flat_type,block,ethnicity,floor_data,price_range,project
3-room,Blk 114,Chinese,#07:1,"$163,000 - $343,100",Important notes
3-room,Blk 114,Indian/ Other Races,#07:1,"$163,000 - $343,100",Important notes
