project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,"Blk 101A, Blk 102A, Blk 104A",#01:1; #02:1; #06:1; #08:1,4,"$99,000 - $385,700"
Important notes,2-room Flexi,Indian/ Other Races,"Blk 101A, Blk 102A, Blk 104A",#01:1; #02:1; #06:1; #08:1,4,"$99,000 - $385,700"
Important notes,2-room Flexi,Malay,"Blk 101A, Blk 102A, Blk 104A",#01:1; #02:1; #06:1; #08:1,4,"$99,000 - $385,700"
