Project Name,Remaining Lease,Probable Completion,2-room Flexi,3-room,4-room,5-room,Latitude,Longitude,Town,Mode of Sale,URL,Nearest_MRT,MRT_Station_Code,MRT_Distance_m,Walk_Distance_m,Walk_Duration_min,bus_duration_min
Treegrove@Woodlands,15 - 45 years,Keys available,1.0,,,,1.43781872979632,103.794144768156,Woodlands,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_V0xfTjhDMjBfMTc2OTQxMjYwMDA3MA,WOODLANDS MRT STATION,TE2,710.2,1079.0,12.9,12.9
Champions Court,15 - 45 years,Keys available,3.0,,,,1.43086687491645,103.78955465026,Woodlands,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_V0xfTjVDMjFfMTc2OTQxMjYwMDA3Mg,WOODLANDS MRT STATION,TE2,599.4,860.0,10.4,10.4
Woodlands Dew,15 - 89 years,Keys available,2.0,,,,1.44867890682994,103.80077081866,Woodlands,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_V0xfTjdDMjZfMTc2ODg3OTgwMDA3NQ,ADMIRALTY MRT STATION,NS10,905.5,1142.0,13.7,13.7
Admiralty Grove,15 - 92 years,Keys available,1.0,,,,1.43745676087682,103.804396235952,Woodlands,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_V0xfTjZDMjJfMTc2ODg3OTgwMDEyOQ,ADMIRALTY MRT STATION,NS10,511.7,722.0,8.7,8.7
Woodlands Glade,15 - 96 years,Keys available,2.0,,,,1.44931766463684,103.802205259574,Woodlands,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_V0xfTjdDMjdfMTc2ODg3OTgwMDA5Mg,ADMIRALTY MRT STATION,NS10,985.7,1356.0,16.3,8.6
Woodlands St 82,68 years,Keys available,,,1.0,,1.44328372188756,103.791448178248,Woodlands,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_V0xfTjhDNF8xNzY4ODc5ODAwMTM3,WOODLANDS NORTH MRT STATION,TE1,827.1,1665.0,20.0,20.0
Woodlands Circle,77 years,Keys available,,,1.0,,1.4456118798325,103.796777439778,Woodlands,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_V0xfTjdDMTFfMTc2ODg3OTgwMDA0Nw,ADMIRALTY MRT STATION,NS10,732.3,943.0,11.3,11.3
Woodlands Ring Rd (1),72 years,Keys available,,,1.0,,1.43839895598799,103.799176607122,Woodlands,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_V0xfTjZDOV8xNzY4ODc5ODAwMDk2,ADMIRALTY MRT STATION,NS10,310.9,427.0,5.1,5.1
Woodlands Ave 6,71 years,Keys available,,,1.0,,1.43947531142587,103.802735390822,Woodlands,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_V0xfTjdDMTZfMTc2ODg3OTgwMDEzOA,ADMIRALTY MRT STATION,NS10,228.4,294.0,3.5,3.5
Woodlands Dr 16,74 years,Keys available,,,1.0,,1.430174357149,103.794645441841,Woodlands,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_V0xfTjVDNl8xNzY4ODc5ODAwMTQx,WOODLANDS SOUTH MRT STATION,TE3,342.2,413.0,5.0,5.0
Marsiling Grove,15 - 97 years,Keys available,1.0,1.0,1.0,,1.43730105428481,103.774042241997,Woodlands,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_V0xfTjFDMjVfMTc2ODg3OTgwMDA3NA,MARSILING MRT STATION,NS8,518.9,563.0,6.8,6.8
Champions Green,15 - 98 years,Keys available,1.0,,1.0,,1.42899926040695,103.788812633678,Woodlands,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_V0xfTjVDMjRfMTc2ODg3OTgwMDA4MA,WOODLANDS SOUTH MRT STATION,TE3,586.8,757.0,9.1,9.1
Champions Bliss,15 - 99 years,Keys available,1.0,,1.0,,1.42774071321515,103.79148248388,Woodlands,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_V0xfTjVDMjNfMTc2ODg3OTgwMDA4OQ,WOODLANDS SOUTH MRT STATION,TE3,262.1,283.0,3.4,3.4
Woodlands Ring Rd (2),72 years,Keys available,,,,1.0,1.43839895598799,103.799176607122,Woodlands,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_V0xfTjZDMTdfMTc2ODg3OTgwMDA3Mg,ADMIRALTY MRT STATION,NS10,310.9,427.0,5.1,5.1
Woodlands South Plains,15 - 99 years,1Q/2027,1.0,,1.0,,1.42706342071295,103.795954395848,Woodlands,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_V0xfTjVDMjVfMTc2ODg3OTgwMDE0OA,WOODLANDS SOUTH MRT STATION,TE3,242.1,243.0,2.9,2.9
Woodlands Beacon,99 years,3Q/2028,,1.0,4.0,,1.43536275832996,103.782517311075,Woodlands,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_V0xfTjFDMzFfMTc2ODg3OTgwMDE0Mw,WOODLANDS MRT STATION,NS9,455.8,567.0,6.8,6.8
Woodgrove Edge,15 - 99 years,4Q/2027,3.0,,10.0,7.0,1.42869628002397,103.785055018853,Woodlands,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_V0xfTjRDN18xNzY4ODc5ODAwMDgy,WOODLANDS MRT STATION,TE2,879.4,1197.0,14.4,14.4
Marsiling Peak I & II,15 - 99 years,1Q/2028,3.0,,3.0,5.0,1.44396800590907,103.775899512237,Woodlands,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_V0xfTjJDMTlBXzE3Njg4Nzk4MDAxMzk,WOODLANDS NORTH MRT STATION,TE1,1197.0,1695.0,20.4,7.5
Woodgrove Ascent,15 - 99 years,Keys available,1.0,,5.0,4.0,1.43198368054543,103.78231151896,Woodlands,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_V0xfTjNDMTZfMTc2ODg3OTgwMDA1MA,WOODLANDS MRT STATION,NS9,704.4,1105.0,13.3,13.3
Marsiling Cascadia,99 years,4Q/2027,,1.0,1.0,2.0,1.43687530739609,103.773198862389,Woodlands,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_V0xfTjFDMjNfMTc2ODg3OTgwMDE0OQ,MARSILING MRT STATION,NS8,479.9,578.0,6.9,6.9
Urban Rise @ Woodlands,15 - 99 years,4Q/2028,2.0,3.0,2.0,6.0,1.43646203400525,103.783600177725,Woodlands,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_V0xfTjlDMl8xNzY4ODc5ODAwMTU3,WOODLANDS MRT STATION,NS9,306.4,601.0,7.2,7.2
Urbanville @ Woodlands,15 - 99 years,2Q/2026,3.0,,2.0,8.0,1.43798217308394,103.783600065421,Woodlands,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_V0xfTjlDNF8xNzY4ODc5ODAwMTUz,WOODLANDS MRT STATION,NS9,326.3,572.0,6.9,6.9
