Project Name,Remaining Lease,Probable Completion,2-room Flexi,4-room,Latitude,Longitude,Town,Mode of Sale,URL,Nearest_MRT,MRT_Station_Code,MRT_Distance_m,Walk_Distance_m,Walk_Duration_min,bus_duration_min
Senja Gateway,15 - 45 years,Keys available,1.0,,1.38656225824527,103.757208072494,Bukit Panjang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QlBfTjZDMTBfMTc2OTQ4MTAwMDA1Nw,SENJA LRT STATION,BP13,716.1,901.0,10.8,10.8
Fajar Spring,15 - 45 years,Keys available,2.0,,1.38450243119902,103.771537431563,Bukit Panjang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QlBfTjRDMTdfMTc2OTQ4MTAwMDA1Mw,FAJAR LRT STATION,BP10,79.1,130.0,1.6,1.6
Segar Vale,15 - 89 years,Keys available,1.0,,1.38853827277489,103.768773256544,Bukit Panjang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QlBfTjVDMTNfMTc2ODQ2OTQwMDEyMg,SEGAR LRT STATION,BP11,125.1,163.0,1.9,1.9
Fajar Rd,62 years,Keys available,,1.0,1.38403200155762,103.770078579177,Bukit Panjang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QlBfTjRDMV8xNzY4NDY5NDAwMTA0,FAJAR LRT STATION,BP10,100.5,118.0,1.4,1.4
Senja Rd,78 years,Keys available,,1.0,1.38663304752484,103.761866185878,Bukit Panjang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QlBfTjZDOF8xNzY4NDY5NDAwMDk5,JELAPANG LRT STATION,BP12,292.2,418.0,5.0,5.0
Segar Grove,88 years,Keys available,,1.0,1.38868132378093,103.771312569429,Bukit Panjang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QlBfTjRDMTRfMTc2ODQ2OTQwMDEyNw,SEGAR LRT STATION,BP11,215.7,354.0,4.2,4.2
Senja Parc View,89 years,Keys available,,1.0,1.38743454593269,103.759118571415,Bukit Panjang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QlBfTjZDMTFfMTc2ODQ2OTQwMDEwMQ,JELAPANG LRT STATION,BP12,603.2,785.0,9.4,9.4
Petir Park Edge,15 - 99 years,3Q/2028,2.0,3.0,1.37472527321707,103.768051234713,Bukit Panjang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QlBfTjFDMTRfMTc2ODQ2OTQwMDEyMw,PETIR LRT STATION,BP7,370.2,646.0,7.8,7.8
