Project Name,Remaining Lease,Probable Completion,2-room Flexi,3-room,4-room,5-room,Latitude,Longitude,Town,Mode of Sale,URL,Nearest_MRT,MRT_Station_Code,MRT_Distance_m,Walk_Distance_m,Walk_Duration_min,bus_duration_min
Golden Cassia,15 - 45 years,Keys available,1.0,,,,1.33182858762708,103.91189196562,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjZDMTdfMTc2OTQxOTgwMDEyNA,KAKI BUKIT MRT STATION,DT28,534.6,819.0,9.8,9.8
Golden Oaks,15 - 45 years,Keys available,3.0,,,,1.33369345595931,103.930396926009,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjVDMTdfMTc2OTQxOTgwMDAwMw,BEDOK RESERVOIR MRT STATION,DT30,363.0,792.0,9.5,9.5
Fengshan Greenville,15 - 45 years,Keys available,2.0,,,,1.32991427421905,103.940310513079,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjFDMjBfMTc2OTQxOTgwMDA2Ng,TANAH MERAH MRT STATION,EW4,739.9,1089.0,13.1,13.1
Ping-an Gardens,46 years,Keys available,,1.0,,,1.32797877350561,103.925804792632,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjhDMV8xNzY4NDY5NDAwMTMz,BEDOK MRT STATION,EW5,654.4,924.0,11.1,11.1
New Upp Changi Rd (1),51 years,Keys available,,1.0,,,1.32478236985627,103.930570304559,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjNDN18xNzY4NDY5NDAwMDkz,BEDOK MRT STATION,EW5,94.7,292.0,3.5,3.5
Ping Yi Gardens,54 years,Keys available,,1.0,,,1.32797877350561,103.925804792632,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjhDNl8xNzY4NDY5NDAwMDE1,BEDOK MRT STATION,EW5,654.4,924.0,11.1,11.1
Ansar Garden,47 years,Keys available,,1.0,,,1.32331161222379,103.923620464562,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjhDM18xNzY4NDY5NDAwMTEy,BEDOK MRT STATION,EW5,732.5,856.0,10.3,10.3
Bedok South Parkview,51 years,Keys available,,,1.0,,1.32205652925918,103.93835472666,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjJDNV8xNzY4NDY5NDAwMTMy,BEDOK MRT STATION,EW5,935.9,1432.0,17.2,17.2
Eunos Grove,56 years,Keys available,,1.0,,,1.33295923556348,103.914941831232,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjZDNF8xNzY4NDY5NDAwMTI1,BEDOK NORTH MRT STATION,DT29,367.6,555.0,6.7,6.7
Bedok Nth St 3,53 years,Keys available,,1.0,,,1.33341229145616,103.928016834812,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjVDMTFfMTc2ODQ2OTQwMDExMQ,BEDOK RESERVOIR MRT STATION,DT30,555.2,1023.0,12.3,12.3
Bedok North Vale,15 - 95 years,Keys available,1.0,,,,1.32993251453158,103.925724942913,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjVDMTlfMTc2ODQ2OTQwMDA3OA,BEDOK MRT STATION,EW5,821.6,1080.0,13.0,13.0
Bedok Nth St 2 (1),52 years,Keys available,,1.0,,,1.32894307188373,103.937140564506,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjFDNV8xNzY4NDY5NDAwMDk0,BEDOK MRT STATION,EW5,948.1,1354.0,16.2,16.2
Bedok Nth St 2 (2),52 years,Keys available,,1.0,,,1.32894307188373,103.937140564506,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjFDNF8xNzY4NDY5NDAwMTE5,BEDOK MRT STATION,EW5,948.1,1354.0,16.2,16.2
Bedok Nth Rd,51 - 60 years,Keys available,,4.0,,,1.33060762647616,103.930375074275,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjFDMTRfMTc2ODQ2OTQwMDA3Nw,BEDOK RESERVOIR MRT STATION,DT30,688.2,1165.0,14.0,14.0
Bedok South Horizon,15 - 96 years,Keys available,2.0,,,,1.31767817684758,103.947397456277,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjJDMTFfMTc2ODQ2OTQwMDEwMg,BEDOK SOUTH MRT STATION,TE30,264.6,311.0,3.7,3.7
Bedok North Green,54 - 59 years,Keys available,,2.0,,,1.33033113628205,103.925432072872,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjVDMTQtQzE1XzE3Njg0Njk0MDAwNzY,BEDOK MRT STATION,EW5,876.6,1184.0,14.2,14.2
Eunos Spring,62 years,Keys available,,1.0,,,1.33197886752323,103.910623668728,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjZDNV8xNzY4NDY5NDAwMTMx,KAKI BUKIT MRT STATION,DT28,425.7,566.0,6.8,6.8
Fengshan Estate,51 years,Keys available,,1.0,,,1.33247206352435,103.934860475522,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjFDMTFfMTc2ODQ2OTQwMDEyNg,BEDOK RESERVOIR MRT STATION,DT30,570.2,745.0,8.9,8.9
Fengshan Precinct,52 years,Keys available,,1.0,,,,,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjFDMl8xNzY4NDY5NDAwMTM0,,,0.0,0.0,0.0,0.0
Garden Hill,52 years,Keys available,,1.0,,,1.32856421177174,103.930036524233,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjRDNV8xNzY4NDY5NDAwMTIw,BEDOK MRT STATION,EW5,504.4,759.0,9.1,9.1
New Upp Changi Rd (2),52 years,Keys available,,,1.0,,1.32478236985627,103.930570304559,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjJDOV8xNzY4NDY5NDAwMTIy,BEDOK MRT STATION,EW5,94.7,292.0,3.5,3.5
Bedok Beacon,15 - 96 years,Keys available,2.0,,,,1.32500460459969,103.92777031436,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjRDOF8xNzY4NDY5NDAwMTAw,BEDOK MRT STATION,EW5,288.0,468.0,5.6,5.6
New Upp Changi Rd (3),52 years,Keys available,,1.0,,,1.32478236985627,103.930570304559,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjNDOF8xNzY4NDY5NDAwMDQ2,BEDOK MRT STATION,EW5,94.7,292.0,3.5,3.5
Bedok Sth Ave 2,52 years,Keys available,,,,1.0,1.32238689442477,103.937406737315,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjJDMl8xNzY4NDY5NDAwMTU5,BEDOK MRT STATION,EW5,824.9,1246.0,14.9,14.9
