Project Name,Remaining Lease,Probable Completion,3-room,4-room,Latitude,Longitude,Town,Mode of Sale,URL,Nearest_MRT,MRT_Station_Code,MRT_Distance_m,Walk_Distance_m,Walk_Duration_min,bus_duration_min
Zhujiao Centre (Tekka Market),56 years,Keys available,,1.0,1.30624722914968,103.849956033902,Central,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Q1RfTjVDMF8xNzY4NTQ4NjAwMDA3,LITTLE INDIA MRT STATION,NE7,64.8,120.0,1.4,1.4
Tg Pagar Plaza,51 years,Keys available,1.0,,1.27515497722604,103.842393163272,Central,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Q1RfTjNDMV8xNzY4NTQ4NjAwMDAz,TANJONG PAGAR MRT STATION,EW15,428.2,527.0,6.3,6.3
Waterloo Centre,52 years,Keys available,1.0,,1.29869445251522,103.852082013485,Central,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Q1RfTjRDMWFfMTc2ODU1NTgwMDAyMQ,BENCOOLEN MRT STATION,DT21,235.4,540.0,6.5,6.5
Bras Basah Complex,54 years,Keys available,,1.0,1.29681525928856,103.853619482206,Central,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Q1RfTjRDMWJfMTc2ODU1NTgwMDAyMQ,BRAS BASAH MRT STATION,CC2,302.9,650.0,7.8,7.8
Cheng Yan Court,58 years,Keys available,,1.0,1.30035670883376,103.853466360307,Central,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Q1RfTjRDMF8xNzY4NTQ4NjAwMDEy,BUGIS MRT STATION,EW12,232.1,370.0,4.5,4.5
River Peaks I & II - Prime,99 years,2Q/2028,61.0,85.0,1.30518692247865,103.856145485985,Central,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Q1RfTjVDNy1DOF8xNzY4NTQ4NjAwMDM1,JALAN BESAR MRT STATION,DT22,90.1,244.0,2.9,2.9
