project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,4-room,Chinese,"Blk 131A, Blk 131B, Blk 132A, Blk 132B",#11:1; #19:1; #22:1; #24:1; #25:2; #27:2; #31:1,9,"$635,300 - $697,700"
Important notes,4-room,Indian/ Other Races,"Blk 131A, Blk 131B, Blk 132A, Blk 132B",#11:1; #19:1; #22:1; #24:1; #25:2; #27:2; #31:1,9,"$635,300 - $697,700"
Important notes,4-room,Malay,"Blk 131A, Blk 131B, Blk 132A, Blk 132B",#11:1; #19:1; #22:1; #24:1; #25:2; #27:2; #31:1,9,"$635,300 - $697,700"
