project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,4-room,Chinese,"Blk 233B, Blk 233C",#06:1; #09:2; #16:1,4,"$886,100 - $899,300"
Important notes,4-room,Indian/ Other Races,"Blk 233B, Blk 233C",#06:1; #09:2; #16:1,4,"$886,100 - $899,300"
Important notes,4-room,Malay,"Blk 233B, Blk 233C",#06:1; #09:2; #16:1,4,"$886,100 - $899,300"
