flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 78,Chinese,#04:1; #10:1; #31:1,"$90,700 - $221,300",Important notes
2-room Flexi,Blk 78,Indian/ Other Races,#04:1; #10:1; #31:1,"$90,700 - $221,300",Important notes
2-room Flexi,Blk 78,Malay,#04:1; #10:1; #31:1,"$90,700 - $221,300",Important notes
