project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,3-room,Chinese,"Blk 665A, Blk 665B",#06:1; #08:1,2,"$409,200 - $417,800"
Important notes,3-room,Indian/ Other Races,"Blk 665A, Blk 665B",#06:1; #08:1,2,"$409,200 - $417,800"
Important notes,3-room,Malay,"Blk 665A, Blk 665B",#06:1; #08:1,2,"$409,200 - $417,800"
