project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,"Blk 376B, Blk 376C",#07:1; #17:1,2,"$51,300 - $131,200"
Important notes,2-room Flexi,Indian/ Other Races,"Blk 376B, Blk 376C",#07:1; #17:1,2,"$51,300 - $131,200"
Important notes,2-room Flexi,Malay,"Blk 376B, Blk 376C",#07:1; #17:1,2,"$51,300 - $131,200"
