project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 712A,#09:1; #12:1; #15:1,3,"$39,300 - $93,900"
Important notes,2-room Flexi,Indian/ Other Races,Blk 712A,#09:1; #12:1; #15:1,3,"$39,300 - $93,900"
Important notes,2-room Flexi,Malay,Blk 712A,#09:1; #12:1; #15:1,3,"$39,300 - $93,900"
