flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 712A,Chinese,#09:1; #12:1; #15:1,"$39,300 - $93,900",Important notes
2-room Flexi,Blk 712A,Indian/ Other Races,#09:1; #12:1; #15:1,"$39,300 - $93,900",Important notes
2-room Flexi,Blk 712A,Malay,#09:1; #12:1; #15:1,"$39,300 - $93,900",Important notes
