flat_type,block,ethnicity,floor_data,price_range,project
3-room,Blk 215C,Chinese,#08:1,"$173,000 - $638,600",Important notes
3-room,Blk 215C,Indian/ Other Races,#08:1,"$173,000 - $638,600",Important notes
3-room,Blk 215C,Malay,#08:1,"$173,000 - $638,600",Important notes
4-room,Blk 215A,Chinese,#13:1,"$279,000 - $899,300",Important notes
4-room,Blk 215A,Indian/ Other Races,#13:1,"$279,000 - $899,300",Important notes
4-room,Blk 215A,Malay,#13:1,"$279,000 - $899,300",Important notes
