project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,4-room,Chinese,Blk 258,#09:1; #11:1,2,"$294,000 - $304,000"
Important notes,4-room,Indian/ Other Races,Blk 258,#09:1; #11:1,2,"$294,000 - $304,000"
