flat_type,block,ethnicity,floor_data,price_range,project
3-room,Blk 149B,Chinese,#08:1; #14:1; #15:1; #17:1; #25:1,"$625,900 - $656,500",Important notes
3-room,Blk 149B,Indian/ Other Races,#08:1; #14:1; #15:1; #17:1; #25:1,"$625,900 - $656,500",Important notes
3-room,Blk 149B,Malay,#08:1; #14:1; #15:1; #17:1; #25:1,"$625,900 - $656,500",Important notes
4-room,Blk 149A,Chinese,#12:1; #17:1,"$883,700 - $895,900",Important notes
4-room,Blk 149B,Chinese,#13:1; #14:1,"$883,700 - $895,900",Important notes
4-room,Blk 149A,Indian/ Other Races,#12:1; #17:1,"$883,700 - $895,900",Important notes
4-room,Blk 149B,Indian/ Other Races,#13:1; #14:1,"$883,700 - $895,900",Important notes
4-room,Blk 149A,Malay,#12:1; #17:1,"$883,700 - $895,900",Important notes
4-room,Blk 149B,Malay,#13:1; #14:1,"$883,700 - $895,900",Important notes
