project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,3-room,Chinese,Blk 7A,#05:1; #06:1; #08:1; #12:1; #14:1; #16:1; #25:1,7,"$521,400 - $580,500"
Important notes,3-room,Indian/ Other Races,Blk 7A,#05:1; #06:1; #08:1; #12:1; #14:1; #16:1; #25:1,7,"$521,400 - $580,500"
Important notes,3-room,Malay,Blk 7A,#05:1; #06:1; #08:1; #12:1; #14:1; #16:1; #25:1,7,"$521,400 - $580,500"
Important notes,4-room,Chinese,"Blk 7A, Blk 7B, Blk 7C",#02:3; #03:2; #04:1; #05:2; #06:3; #08:1; #11:1; #13:1; #14:1; #15:1; #17:1; #19:2; #22:1; #23:1; #25:3; #27:2,26,"$720,400 - $861,400"
Important notes,4-room,Indian/ Other Races,"Blk 7A, Blk 7B, Blk 7C",#02:3; #03:2; #04:1; #05:2; #06:3; #08:1; #11:1; #13:1; #14:1; #15:1; #17:1; #19:2; #22:1; #23:1; #25:3; #27:2,26,"$720,400 - $861,400"
Important notes,4-room,Malay,"Blk 7A, Blk 7B, Blk 7C",#02:3; #03:2; #04:1; #05:2; #06:3; #08:1; #11:1; #13:1; #14:1; #15:1; #17:1; #19:2; #22:1; #23:1; #25:3; #27:2,26,"$720,400 - $861,400"
