project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Indian/ Other Races,Blk 590B,#14:1; #30:1,2,"$94,600 - $205,600"
Important notes,2-room Flexi,Malay,Blk 590B,#14:1; #30:1,2,"$94,600 - $205,600"
