flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 590B,Indian/ Other Races,#14:1; #30:1,"$94,600 - $205,600",Important notes
2-room Flexi,Blk 590B,Malay,#14:1; #30:1,"$94,600 - $205,600",Important notes
