project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 509B,#05:1; #06:1; #08:1,3,"$46,300 - $118,500"
Important notes,2-room Flexi,Indian/ Other Races,Blk 509B,#05:1; #06:1; #08:1,3,"$46,300 - $118,500"
Important notes,2-room Flexi,Malay,Blk 509B,#05:1; #06:1; #08:1,3,"$46,300 - $118,500"
