flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 509B,Chinese,#05:1; #06:1; #08:1,"$46,300 - $118,500",Important notes
2-room Flexi,Blk 509B,Indian/ Other Races,#05:1; #06:1; #08:1,"$46,300 - $118,500",Important notes
2-room Flexi,Blk 509B,Malay,#05:1; #06:1; #08:1,"$46,300 - $118,500",Important notes
