project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,"Blk 213A, Blk 215A",#09:1; #10:1; #11:1; #14:1; #17:1,5,"$83,600 - $309,600"
Important notes,2-room Flexi,Indian/ Other Races,"Blk 213A, Blk 215A",#09:1; #10:1; #11:1; #14:1; #17:1,5,"$83,600 - $309,600"
Important notes,2-room Flexi,Malay,"Blk 213A, Blk 215A",#09:1; #10:1; #11:1; #14:1; #17:1,5,"$83,600 - $309,600"
