flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 112B,Chinese,#03:1,"$64,500 - $192,400",Important notes
2-room Flexi,Blk 112B,Indian/ Other Races,#03:1,"$64,500 - $192,400",Important notes
2-room Flexi,Blk 112B,Malay,#03:1,"$64,500 - $192,400",Important notes
5-room,Blk 114A,Chinese,#05:1,"$596,400 - $610,100",Important notes
5-room,Blk 114B,Chinese,#13:1,"$596,400 - $610,100",Important notes
5-room,Blk 114A,Indian/ Other Races,#05:1,"$596,400 - $610,100",Important notes
5-room,Blk 114B,Indian/ Other Races,#13:1,"$596,400 - $610,100",Important notes
5-room,Blk 114A,Malay,#05:1,"$596,400 - $610,100",Important notes
5-room,Blk 114B,Malay,#13:1,"$596,400 - $610,100",Important notes
