project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Indian/ Other Races,Blk 95B,#11:1,1,"$122,000 - $361,000"
Important notes,2-room Flexi,Malay,Blk 95B,#11:1,1,"$122,000 - $361,000"
