project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,3-room,Chinese,Blk 156B,#15:1,1,"$198,000 - $566,500"
Important notes,3-room,Indian/ Other Races,Blk 156B,#15:1,1,"$198,000 - $566,500"
Important notes,3-room,Malay,Blk 156B,#15:1,1,"$198,000 - $566,500"
Important notes,4-room,Chinese,"Blk 156A, Blk 156B",#07:1; #15:1; #16:1,3,"$703,300 - $737,100"
Important notes,4-room,Indian/ Other Races,"Blk 156A, Blk 156B",#07:1; #15:1; #16:1,3,"$703,300 - $737,100"
Important notes,4-room,Malay,"Blk 156A, Blk 156B",#07:1; #15:1; #16:1,3,"$703,300 - $737,100"
