project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 454,#03:1; #11:1,2,"$46,700 - $120,600"
Important notes,2-room Flexi,Indian/ Other Races,Blk 454,#03:1; #11:1,2,"$46,700 - $120,600"
Important notes,2-room Flexi,Malay,Blk 454,#03:1; #11:1,2,"$46,700 - $120,600"
