project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 101B,#13:1,1,"$77,800 - $226,500"
Important notes,2-room Flexi,Indian/ Other Races,Blk 101B,#13:1,1,"$77,800 - $226,500"
Important notes,2-room Flexi,Malay,Blk 101B,#13:1,1,"$77,800 - $226,500"
Important notes,4-room,Chinese,"Blk 100A, Blk 100B, Blk 102A",#13:1; #15:1; #16:1,3,"$473,200 - $484,300"
Important notes,4-room,Indian/ Other Races,"Blk 100A, Blk 100B, Blk 102A",#13:1; #15:1; #16:1,3,"$473,200 - $484,300"
Important notes,4-room,Malay,"Blk 100A, Blk 100B, Blk 102A",#13:1; #15:1; #16:1,3,"$473,200 - $484,300"
Important notes,5-room,Chinese,"Blk 100A, Blk 102A",#11:1; #13:1; #15:1,3,"$607,200 - $642,300"
Important notes,5-room,Indian/ Other Races,"Blk 100A, Blk 102A",#11:1; #13:1; #15:1,3,"$607,200 - $642,300"
Important notes,5-room,Malay,"Blk 100A, Blk 102A",#11:1; #13:1; #15:1,3,"$607,200 - $642,300"
