project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 92,#37:1,1,"$128,700 - $248,400"
Important notes,2-room Flexi,Indian/ Other Races,"Blk 89, Blk 92",#05:1; #10:1; #37:1,3,"$128,700 - $248,400"
Important notes,2-room Flexi,Malay,"Blk 89, Blk 92",#05:1; #10:1; #37:1,3,"$128,700 - $248,400"
