project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 1A,#06:1,1,"$107,600 - $192,700"
Important notes,2-room Flexi,Indian/ Other Races,Blk 1A,#06:1,1,"$107,600 - $192,700"
Important notes,2-room Flexi,Malay,Blk 1A,#06:1,1,"$107,600 - $192,700"
Important notes,3-room,Chinese,"Blk 1A, Blk 1B, Blk 2A",#13:1; #15:1; #20:1; #29:1,4,"$608,600 - $656,000"
Important notes,3-room,Indian/ Other Races,"Blk 1A, Blk 1B, Blk 2A, Blk 2B",#05:1; #13:1; #15:1; #20:1; #29:1,5,"$608,600 - $656,000"
Important notes,3-room,Malay,"Blk 1A, Blk 1B, Blk 2A, Blk 2B",#05:1; #13:1; #15:1; #20:1; #29:1,5,"$608,600 - $656,000"
Important notes,4-room,Chinese,"Blk 1B, Blk 2B",#11:1; #15:2,3,"$878,800 - $895,800"
Important notes,4-room,Indian/ Other Races,"Blk 1B, Blk 2B",#11:1; #15:2,3,"$878,800 - $895,800"
Important notes,4-room,Malay,"Blk 1B, Blk 2B",#11:1; #15:2,3,"$878,800 - $895,800"
