project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 62B,#03:1; #04:1; #07:1; #11:1; #14:1,5,"$65,800 - $167,700"
Important notes,2-room Flexi,Malay,Blk 62B,#03:1; #04:1; #07:1; #11:1; #14:1,5,"$65,800 - $167,700"
