flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 62B,Chinese,#03:1; #04:1; #07:1; #11:1; #14:1,"$65,800 - $167,700",Important notes
2-room Flexi,Blk 62B,Malay,#03:1; #04:1; #07:1; #11:1; #14:1,"$65,800 - $167,700",Important notes
