project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,"Blk 477B, Blk 477C",#05:3; #06:1; #10:1; #12:1,6,"$48,100 - $179,300"
Important notes,2-room Flexi,Indian/ Other Races,"Blk 477B, Blk 477C",#05:3; #06:1; #10:1; #12:1,6,"$48,100 - $179,300"
Important notes,2-room Flexi,Malay,Blk 477B,#05:1; #06:1,2,"$48,100 - $179,300"
Important notes,4-room,Chinese,Blk 476B,#11:1,1,"$326,900 - $429,000"
Important notes,4-room,Indian/ Other Races,Blk 476B,#11:1,1,"$326,900 - $429,000"
