flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 477B,Chinese,#05:1; #06:1,"$48,100 - $179,300",Important notes
2-room Flexi,Blk 477C,Chinese,#05:1; #10:1; #12:1,"$48,100 - $179,300",Important notes
2-room Flexi,Blk 477B,Indian/ Other Races,#05:1; #06:1,"$48,100 - $179,300",Important notes
2-room Flexi,Blk 477C,Indian/ Other Races,#05:1; #10:1; #12:1,"$48,100 - $179,300",Important notes
2-room Flexi,Blk 477B,Malay,#05:1; #06:1,"$48,100 - $179,300",Important notes
4-room,Blk 476B,Chinese,#11:1,"$326,900 - $429,000",Important notes
4-room,Blk 476B,Indian/ Other Races,#11:1,"$326,900 - $429,000",Important notes
