project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,4-room,Chinese,"Blk 175B, Blk 176B",#07:1; #10:1,2,"$507,000 - $510,200"
Important notes,4-room,Indian/ Other Races,"Blk 175B, Blk 176B",#07:1; #10:1,2,"$507,000 - $510,200"
Important notes,4-room,Malay,"Blk 175B, Blk 176B",#07:1; #10:1,2,"$507,000 - $510,200"
