project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,Community Care Apartment,Chinese,Blk 469A,#03:1; #04:1; #05:1; #07:1; #11:1; #12:1; #15:1,7,"$52,700 - $91,900"
Important notes,Community Care Apartment,Indian/ Other Races,Blk 469A,#03:1; #04:1; #05:1; #07:1; #11:1; #12:1; #15:1,7,"$52,700 - $91,900"
Important notes,Community Care Apartment,Malay,Blk 469A,#03:1; #04:1; #05:1; #07:1; #11:1; #12:1; #15:1,7,"$52,700 - $91,900"
