project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,3-room,Chinese,Blk 200B,#05:1; #29:1; #31:1,3,"$545,100 - $596,100"
Important notes,3-room,Indian/ Other Races,Blk 200B,#05:1; #29:1; #31:1,3,"$545,100 - $596,100"
Important notes,3-room,Malay,Blk 200B,#05:1; #29:1; #31:1,3,"$545,100 - $596,100"
Important notes,4-room,Chinese,"Blk 200A, Blk 200B",#10:1; #19:1; #24:1,3,"$752,100 - $798,400"
Important notes,4-room,Indian/ Other Races,"Blk 200A, Blk 200B",#10:1; #19:1; #24:1,3,"$752,100 - $798,400"
Important notes,4-room,Malay,"Blk 200A, Blk 200B",#10:1; #19:1; #24:1,3,"$752,100 - $798,400"
