project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 530A,#03:1; #06:1,2,"$48,700 - $91,500"
Important notes,2-room Flexi,Indian/ Other Races,Blk 530A,#03:1; #06:1,2,"$48,700 - $91,500"
Important notes,2-room Flexi,Malay,Blk 530A,#03:1; #06:1,2,"$48,700 - $91,500"
