project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 270A,#08:1; #18:1; #23:1,3,"$92,100 - $198,600"
Important notes,2-room Flexi,Indian/ Other Races,Blk 270A,#08:1; #18:1; #23:1,3,"$92,100 - $198,600"
Important notes,2-room Flexi,Malay,Blk 270A,#08:1; #18:1; #23:1,3,"$92,100 - $198,600"
Important notes,4-room,Chinese,"Blk 268A, Blk 269A, Blk 270A",#07:1; #16:1; #18:1; #20:1,4,"$699,200 - $723,100"
Important notes,4-room,Indian/ Other Races,"Blk 268A, Blk 269A, Blk 270A",#07:1; #16:1; #18:1; #20:1,4,"$699,200 - $723,100"
Important notes,4-room,Malay,"Blk 268A, Blk 269A, Blk 270A",#07:1; #16:1; #18:1; #20:1,4,"$699,200 - $723,100"
