project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,3-room,Chinese,"Blk 36A, Blk 37A, Blk 37B",#02:1; #03:2; #04:2; #05:2; #06:1; #07:1; #08:1; #09:2; #10:2; #11:1; #12:2; #13:2; #14:3; #15:2; #16:2; #17:2; #18:1; #19:2; #20:3; #21:2; #22:1; #24:1,38,"$410,800 - $498,400"
Important notes,3-room,Indian/ Other Races,"Blk 36A, Blk 37A, Blk 37B",#02:1; #03:2; #04:2; #05:2; #06:1; #07:1; #08:1; #09:2; #10:2; #11:1; #12:2; #13:2; #14:3; #15:2; #16:2; #17:2; #18:1; #19:2; #20:3; #21:2; #22:1; #24:1,38,"$410,800 - $498,400"
Important notes,3-room,Malay,"Blk 36A, Blk 37A, Blk 37B",#02:1; #03:2; #04:2; #05:2; #06:1; #07:1; #08:1; #09:2; #10:2; #11:1; #12:2; #13:2; #14:3; #15:2; #16:2; #17:2; #18:1; #19:2; #20:3; #21:2; #22:1; #24:1,38,"$410,800 - $498,400"
Important notes,4-room,Chinese,"Blk 36A, Blk 37A, Blk 37B",#02:3; #03:3; #04:1,7,"$586,800 - $634,400"
Important notes,4-room,Indian/ Other Races,"Blk 36A, Blk 37A, Blk 37B",#02:3; #03:3; #04:1,7,"$586,800 - $634,400"
Important notes,4-room,Malay,"Blk 36A, Blk 37A, Blk 37B",#02:3; #03:3; #04:1,7,"$586,800 - $634,400"
