flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 653B,Chinese,#02:1,"$72,200 - $231,000",Important notes
2-room Flexi,Blk 654C,Chinese,#08:1,"$72,200 - $231,000",Important notes
2-room Flexi,Blk 653B,Indian/ Other Races,#02:1,"$72,200 - $231,000",Important notes
2-room Flexi,Blk 654C,Indian/ Other Races,#08:1,"$72,200 - $231,000",Important notes
2-room Flexi,Blk 653B,Malay,#02:1,"$72,200 - $231,000",Important notes
2-room Flexi,Blk 654C,Malay,#08:1,"$72,200 - $231,000",Important notes
4-room,Blk 656C,Chinese,#11:1,"$394,000 - $519,100",Important notes
4-room,Blk 656C,Indian/ Other Races,#11:1,"$394,000 - $519,100",Important notes
4-room,Blk 656C,Malay,#11:1,"$394,000 - $519,100",Important notes
