project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,3-room,Chinese,"Blk 739, Blk 740",#11:1; #12:1,2,"$273,000 - $278,000"
Important notes,3-room,Indian/ Other Races,"Blk 739, Blk 740",#11:1; #12:1,2,"$273,000 - $278,000"
Important notes,3-room,Malay,"Blk 739, Blk 740",#11:1; #12:1,2,"$273,000 - $278,000"
