project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,"Blk 161A, Blk 161C",#17:1; #21:1,2,"$79,300 - $221,800"
Important notes,2-room Flexi,Indian/ Other Races,"Blk 161A, Blk 161C",#17:1; #21:1,2,"$79,300 - $221,800"
Important notes,2-room Flexi,Malay,"Blk 161A, Blk 161C",#17:1; #21:1,2,"$79,300 - $221,800"
