project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,"Blk 526A, Blk 529B",#04:1; #07:1,2,"$50,100 - $174,600"
Important notes,2-room Flexi,Indian/ Other Races,"Blk 526A, Blk 529B",#04:1; #07:1,2,"$50,100 - $174,600"
Important notes,2-room Flexi,Malay,"Blk 526A, Blk 529B",#04:1; #07:1,2,"$50,100 - $174,600"
Important notes,4-room,Chinese,Blk 529B,#13:1,1,"$326,900 - $429,000"
Important notes,4-room,Indian/ Other Races,Blk 529B,#13:1,1,"$326,900 - $429,000"
Important notes,4-room,Malay,Blk 529B,#13:1,1,"$326,900 - $429,000"
