project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Indian/ Other Races,Blk 10B,#06:1; #21:1,2,"$130,300 - $242,900"
Important notes,2-room Flexi,Malay,Blk 10B,#06:1; #21:1,2,"$130,300 - $242,900"
