flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 10B,Indian/ Other Races,#06:1; #21:1,"$130,300 - $242,900",Important notes
2-room Flexi,Blk 10B,Malay,#06:1; #21:1,"$130,300 - $242,900",Important notes
