flat_type,block,ethnicity,floor_data,price_range,project
4-room,Blk 627,Chinese,#02:1,"$289,000 - $483,700",Important notes
4-room,Blk 627,Indian/ Other Races,#02:1,"$289,000 - $483,700",Important notes
4-room,Blk 627,Malay,#02:1,"$289,000 - $483,700",Important notes
