flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 819A,Chinese,#04:1,"$62,000 - $180,400",Important notes
2-room Flexi,Blk 819A,Indian/ Other Races,#04:1,"$62,000 - $180,400",Important notes
2-room Flexi,Blk 819A,Malay,#04:1,"$62,000 - $180,400",Important notes
4-room,Blk 820B,Chinese,#14:1,"$344,000 - $486,500",Important notes
4-room,Blk 820B,Indian/ Other Races,#14:1,"$344,000 - $486,500",Important notes
4-room,Blk 820B,Malay,#14:1,"$344,000 - $486,500",Important notes
