flat_type,block,ethnicity,floor_data,price_range,project
3-room,Blk 459,Chinese,#03:1,"$218,000 - $351,700",Important notes
3-room,Blk 459,Indian/ Other Races,#03:1,"$218,000 - $351,700",Important notes
