project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 374B,#16:1,1,"$80,900 - $241,500"
Important notes,2-room Flexi,Indian/ Other Races,Blk 374B,#16:1,1,"$80,900 - $241,500"
Important notes,2-room Flexi,Malay,Blk 374B,#16:1,1,"$80,900 - $241,500"
Important notes,4-room,Chinese,"Blk 372A, Blk 372B, Blk 373A, Blk 374A, Blk 374B",#09:1; #16:1; #20:1; #21:1; #23:1,5,"$470,700 - $495,400"
Important notes,4-room,Indian/ Other Races,"Blk 372A, Blk 372B, Blk 373A, Blk 374A, Blk 374B",#09:1; #16:1; #20:1; #21:1; #23:1,5,"$470,700 - $495,400"
Important notes,4-room,Malay,"Blk 372A, Blk 372B, Blk 373A, Blk 374A, Blk 374B",#09:1; #16:1; #20:1; #21:1; #23:1,5,"$470,700 - $495,400"
Important notes,5-room,Chinese,"Blk 372B, Blk 373A",#04:1; #05:1; #06:1; #19:1,4,"$581,200 - $617,100"
Important notes,5-room,Indian/ Other Races,"Blk 372B, Blk 373A",#04:1; #05:1; #06:1; #19:1,4,"$581,200 - $617,100"
Important notes,5-room,Malay,"Blk 372B, Blk 373A",#04:1; #05:1; #06:1; #19:1,4,"$581,200 - $617,100"
