Project Name,Remaining Lease,Probable Completion,2-room Flexi,3-room,4-room,5-room,Executive,Latitude,Longitude,Town,Mode of Sale,URL,Nearest_MRT,MRT_Station_Code,MRT_Distance_m,Walk_Distance_m,Walk_Duration_min,bus_duration_min
Nanyang Ruby,62 - 63 years,Keys available,,,3.0,,,1.3434287123121,103.689934677702,Jurong West,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SldfTjlDNi1DOC1DOV8xNzY4NTQ4NjAwMDIw,PIONEER MRT STATION,EW28,1055.0,1270.0,15.2,15.2
Nanyang Sapphire,63 years,Keys available,,,1.0,,,1.34405238853773,103.696709870352,Jurong West,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SldfTjdDNl8xNzY4NTQ4NjAwMDQ5,PIONEER MRT STATION,EW28,722.5,1038.0,12.5,12.5
Boon Lay Glade,15 - 97 years,Keys available,1.0,1.0,,,,1.34194041898371,103.710083736752,Jurong West,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SldfTjJDMjBfMTc2ODU0ODYwMDAzMA,BOON LAY MRT STATION,EW27,569.6,796.0,9.6,9.6
Corporation Spring,75 years,Keys available,,,1.0,,,1.33332140109047,103.722288614113,Jurong West,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SldfTjFDMjhfMTc2ODU0ODYwMDAxMQ,LAKESIDE MRT STATION,EW26,1221.9,1557.0,18.7,18.7
Nanyang Opal,99 years,Keys available,,,1.0,,,1.34096044368838,103.690819152729,Jurong West,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SldfTjlDMTlfMTc2ODU0ODYwMDAyMg,PIONEER MRT STATION,EW28,823.6,1198.0,14.4,14.4
Edelweiss@Jurong,82 years,Keys available,,,,1.0,,1.34563047616405,103.705038025438,Jurong West,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SldfTjZDNV8xNzY4NTQ4NjAwMDA3,BOON LAY MRT STATION,EW27,787.1,1133.0,13.6,13.6
Jurong West Crystal,99 years,3Q/2027,,,3.0,,,1.33666121249097,103.693455495264,Jurong West,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SldfTjlDMjFfMTc2ODU0ODYwMDAyNw,PIONEER MRT STATION,EW28,452.6,468.0,5.6,5.6
Jurong West St 42,58 years,Keys available,,,,1.0,,1.35313667435718,103.721578610238,Jurong West,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SldfTjVDMTFfMTc2ODU0ODYwMDAyNQ,LAKESIDE MRT STATION,EW26,993.6,1508.0,18.1,12.4
Lakeside View,15 - 99 years,4Q/2026,3.0,1.0,2.0,,,1.34129203312223,103.72103664239,Jurong West,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SldfTjNDMzFfMTc2ODU0ODYwMDAyMQ,LAKESIDE MRT STATION,EW26,326.4,473.0,5.7,5.7
Jurong Arcadia,15 - 99 years,3Q/2027,4.0,1.0,2.0,3.0,,1.35399391663223,103.723814035389,Jurong West,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SldfTjRDMjJfMTc2ODU0ODYwMDAxOQ,LAKESIDE MRT STATION,EW26,1132.8,1763.0,21.1,16.1
Jurong West Ctrl 1,74 years,Keys available,,,,,1.0,1.3425666993232,103.705474193556,Jurong West,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SldfTjZDM18xNzY4OTYyNjAwMDAy,BOON LAY MRT STATION,EW27,443.1,705.0,8.4,8.4
