flat_type,block,ethnicity,floor_data,price_range,project
3-room,Blk 30,Chinese,#03:1,"$178,000 - $467,100",Important notes
3-room,Blk 30,Indian/ Other Races,#03:1,"$178,000 - $467,100",Important notes
3-room,Blk 30,Malay,#03:1,"$178,000 - $467,100",Important notes
