project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 78,#04:1; #10:1; #31:1,3,"$90,700 - $221,300"
Important notes,2-room Flexi,Indian/ Other Races,Blk 78,#04:1; #10:1; #31:1,3,"$90,700 - $221,300"
Important notes,2-room Flexi,Malay,Blk 78,#04:1; #10:1; #31:1,3,"$90,700 - $221,300"
